,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAP,FRI_MAP
9,A7,0.008104407238564024,2.0897271633148193,0.0022765619710668553,-0.0010112666729269206,0.004864014990586033,0.0030800078355283644,0.00033777144317058416,0.00017695277074677301
8,A10,0.009967442499644522,2.0916318893432617,-0.0023405793757813554,-5.125163216764034e-05,0.004852247722005424,0.003990487157360762,0.00027981904828866186,0.0002897043213252598
7,A11,0.034368204157994686,1.0141981840133667,0.001980011991755422,-0.0025307155167417572,0.006439392803442762,0.007864705973640347,0.001135368595613407,0.0012992011196383173
6,A4,0.04120136852131315,0.1847434639930725,0.003748858009331394,0.008712227777330616,0.009618058767157264,0.026720239272994373,0.0016855625092842153,0.005159597668793592
5,A8,0.043489327835769545,1.014858365058899,-0.00320156060234982,0.0011818003624160971,0.00869190596800191,0.005935400137962395,0.0017191993462801688,0.0009353234505927802
4,A12,0.050934010186743005,9.19310474395752,0.000889690120050518,-0.03517293775304813,0.01593420050156714,0.052389549259330884,0.002920058209798758,0.011657187767795844
3,A9,0.05277025941902853,9.183156967163086,0.03489142395109676,0.003319240343632183,0.06764969544805222,0.03513452185475228,0.017144209700182652,0.011668238677068697
2,A6,0.208192888047711,0.14853614568710327,-0.059914469044037036,0.0031216025198532813,0.07806404881444455,0.04942260336633794,0.013614110506013646,0.010034793549701555
1,A2,0.2258228493750011,660.93896484375,0.1458434223554231,-0.01769243987175649,0.1800868780727271,0.10196892382097086,0.058042853220022825,0.032364322542985005
0,A3,0.2330321256011134,665.20654296875,0.1563409659691276,-0.007867067141841442,0.19123029236242056,0.09518295823502616,0.06767231512853317,0.033583715196758034
