,Feature Name,Importance,Delta,FR_Decrementing,FR_Incrementing,FRD_abs,FRI_abs,FRD_MAP,FRI_MAP
99,telefono_cliente=6ee4c8bff99a9f3de6d128990a3bcde574fdf387,0.0011642865595382751,,,,,,,
98,nombre_cliente=88fb2cbf49eb39c22cc89f76f59970fe6a057095,0.0011704965417799478,,,,,,,
97,telefono_cliente=41a00d2520a17c1dd3d7129707b7d8965535af80,0.0011806055228688033,,,,,,,
96,nombre_cliente=9e5c450403c3970b18eda89bb4201b92afc5f4ce,0.0011814410808032398,,,,,,,
95,telefono_cliente=d0cfeafb54445bd79a0ed1a8d41d9649171e4f9d,0.0011886571664456893,,,,,,,
94,nombre_cliente=43540416031a85aa31396e2aaa8ddc2456fccf48,0.0011979007394948853,,,,,,,
93,pais_cliente=Francia,0.0012054961708078992,,,,,,,
92,telefono_cliente=f6607f0ede6380cc869bf9873ae221964b269866,0.0012150210843337797,,,,,,,
91,nombre_cliente=4ec9b1af1393fb04b6eca382e8e5da30de4b08e2,0.0012154608515455273,,,,,,,
90,telefono_cliente=cabacfee0a3d82562e041a7a16eb1a15b1d4f519,0.0012373785661854643,,,,,,,
89,nombre_cliente=183cce5266fa5efb6d8ce472405f40de4ac5db5c,0.0012469050081139728,,,,,,,
88,email_cliente=955788dfcc890bb336a23bfbd0b2163a9b5f4dcf,0.0012480534503372005,,,,,,,
87,pais_cliente=Israel,0.0012484945048320114,,,,,,,
86,nombre_cliente=8dd81bb1629c179a1b095c9ca2073ea078ab3886,0.0012541052424194163,,,,,,,
85,email_cliente=4f7d15457220f81c8cb54d8c7de13a10622ec7dc,0.0012554333512819539,,,,,,,
84,nombre_cliente=ceb6fc6307c8d609c6b5a14eb03809f3bf460f31,0.001270300657473048,,,,,,,
83,pais_cliente=Estados Unidos,0.0012866439577599272,,,,,,,
82,telefono_cliente=44a7d6397afb119c4a875b0900f27ee7c3448aeb,0.0013036638803623109,,,,,,,
81,email_cliente=8c6c5bdba0b10f7e01aec529cca516a83b9f7667,0.0013059109290426414,,,,,,,
80,nombre_cliente=886e4ac09c8236f1854b9ac2ca3e88cc88415d4c,0.0013140737684511133,,,,,,,
79,nombre_cliente=fe12b1554822a09e13b3ff3ab3f934ee1a7a37b9,0.0013180107471617636,,,,,,,
78,nombre_cliente=2548431fca404b131c75a883763a752c9cc7eadc,0.0013187845974776287,,,,,,,
77,nombre_cliente=fb886634137d90ba64303238000ff2fa9dc8cca8,0.0013189276827129661,,,,,,,
76,pais_cliente=Argentina,0.0013194454197295992,,,,,,,
75,telefono_cliente=53443ab9a1c224d714a1db07c43c6fb56bfe9bc7,0.0013204085759476643,,,,,,,
74,nombre_cliente=359ebf488478e64e6628a1a8ac8923dfa58ed640,0.0013209881368869778,,,,,,,
73,nombre_cliente=6379601e7ad29e86b9e642a2d3b8f4ee15c539f4,0.0013214739837957954,,,,,,,
72,nombre_cliente=e451875639c7d483c1652f7854bf6b84a3886b14,0.0013227249479397943,,,,,,,
71,nombre_cliente=7884a29b5afd4c09e99c7a9fd10b7425ea4abf9c,0.0013228321065880072,,,,,,,
70,nombre_cliente=961502e0baa3267b854de58151a1f002936ac5fb,0.0013229638298504732,,,,,,,
69,hotel=5e15fec283ff9ceb8449e558d8c5c81ac9fd2cfc,0.0013231256135498952,,,,,,,
68,nombre_cliente=81b4675f3b32ce3226a9d9148c0eaaef8726a7ce,0.0013236919786295375,,,,,,,
67,pais_cliente=Suiza,0.0013278368120366317,,,,,,,
66,hotel=a7e13acfabba653a22f18f3dab2b0cf1dc03c6dd,0.001337614398896057,,,,,,,
65,nombre_cliente=68c5ffec5e9d957b4d9868477fd887ad85109faf,0.0013630740760094571,,,,,,,
64,telefono_cliente=a6d523934ab0ecfd868e1349e7e69a2b2c2431b7,0.001374891796101727,,,,,,,
63,hotel=28894d8f7f388a274b0bde507e15bb3d4cbbbb3f,0.001390048357585104,,,,,,,
62,email_cliente=8e516eb73933da8b4ccbe49afc09983dafe1226a,0.0014021763306059506,,,,,,,
61,hotel=611fdbb4ce07a72886d01ce754e02d95fd9895cd,0.0014167026401790568,,,,,,,
60,telefono_cliente=e4e0cb2ed1750eca0c711f7146873ebaeadcc2f4,0.0014330999169965308,,,,,,,
59,hotel=be024d38870cb7453bc4884597e96f1ab9a84c23,0.0014446820983726584,,,,,,,
58,total_habitaciones,0.0014617595291137985,0.28365394473075867,0.0,0.0,0.0,0.0,0.0,0.0
57,hotel=47405ed842ab06cefd85041eaa2480a2d4ded465,0.001463193013890881,,,,,,,
56,email_cliente=eacda9711e0eee0cf4562552c4093dfdc8c85714,0.0014699976193509787,,,,,,,
55,nombre_cliente=cfa3ce688bf60cba289bcd4459fd72cf559f8c81,0.0014735880203761457,,,,,,,
54,nombre_cliente=72545d0e8a27587ef46f6b63ecc2e9f3500beb0f,0.0014888058170584256,,,,,,,
53,telefono_cliente=814e4e5f7ba9f8c81776cdaa2025c941f475c2f8,0.001500540315251405,,,,,,,
52,hotel=94da02eacc5b38529c5d3dce30ae1598ee8d05b3,0.0015173389975238858,,,,,,,
51,hotel=0debdd6a0aa836058713ba292666e7454eb75034,0.001521974124813268,,,,,,,
50,telefono_cliente=935ec848c56c13db8939014de763c99014014d18,0.0015437849364230917,,,,,,,
49,email_cliente=0941d46028eee47b245e2b197a87b8c6d504ce24,0.0015520729041425638,,,,,,,
48,telefono_cliente=d033fbe982f23dc33fbd1ce84e03c318f82a655d,0.0015541622133839752,,,,,,,
47,nombre_cliente=addbec3b1ef46b6869059089c66e38beaf78c3fc,0.0015567094354091355,,,,,,,
46,nombre_cliente=bff86559f9bfd1235ac1b8fd97f6a21040977ae5,0.0015796663878244546,,,,,,,
45,nombre_cliente=99892b510b247d61a10d02d8a63a81cda42f1a1a,0.0015808704051430745,,,,,,,
44,telefono_cliente=e548072bb37a5b3e1708d61d794b91a2876e87f3,0.0015839215081380233,,,,,,,
43,nombre_cliente=96770f6cd2dffb6b47e23452454aaa262de40520,0.0015849319399992338,,,,,,,
42,telefono_cliente=9e6b6ee52e732661ed3ab0ca379e8452747c2793,0.001586006239934104,,,,,,,
41,nombre_cliente=2cec94f187f1daf2b7b28314fe13611706fba10f,0.0015875056306309692,,,,,,,
40,hotel=24cda0ac415b7a31248ff5487252d18b95b419fc,0.0015936824044655315,,,,,,,
39,pais_cliente=Afganistan,0.0016043262016690412,,,,,,,
38,hotel=c402646ad6af94a1d21aaca2a708e5ca0e4f2630,0.0016179539327660943,,,,,,,
37,pais_cliente=Chile,0.0016315116289075675,,,,,,,
36,hotel=384ed8fb30703b68376edab261284a5ce180a71b,0.0016340795963635608,,,,,,,
35,hotel=cb26d605281da9591cfd965981a5975c42efcf61,0.0016893817818666055,,,,,,,
34,telefono_cliente=51b6c90598f23b01745e69631b02c4b092329494,0.0017038564884260428,,,,,,,
33,nombre_cliente=88ada3696f4d893763f59b18e9f4c0bc8591b4c2,0.0017053226430833665,,,,,,,
32,telefono_cliente=7231c5a61c43c5083c51404e5de30acd5f7d170c,0.0017185665033207045,,,,,,,
31,email_cliente=6d5a2d11fda0463c52424223a831f87a5372241c,0.0017410771306473226,,,,,,,
30,email_cliente=abc8b9a6192e1f6b1177b640568b851d0cb11d7e,0.001759303776392105,,,,,,,
29,nombre_cliente=f2537711a973da0ba4f500f1788377c324e49c30,0.0017848084327235446,,,,,,,
28,nombre_cliente=b8196d7a03bde504013854b89a7b31b7a98ac7c3,0.0017932583069029846,,,,,,,
27,telefono_cliente=f7e14efcf3383844b9edacf3fb88523f88b987ae,0.0018426262649614742,,,,,,,
26,nombre_cliente=95b5338a80e001fac9a26c5d84de3b565ef30605,0.0018812000422910498,,,,,,,
25,nombre_cliente=b6108fc5b1af1cc927950349a8e12f2b23fca1ed,0.0018913362795991858,,,,,,,
24,email_cliente=873e0639a7d97a0990bbf6ea6582462c1083be98,0.0019792960171272516,,,,,,,
23,telefono_cliente=fec323e79b1a060eb7ef5706c9c79e0712362692,0.002005276255131802,,,,,,,
22,telefono_cliente=9c05359824bf30433eb8ddf0ad64e6ecca77044a,0.002017630984806357,,,,,,,
21,telefono_cliente=2840dc52851908a1665eab4d38cd2389814566db,0.002041485660165214,,,,,,,
20,nombre_cliente=fe0f09164979c581acdcda360ca1a46ad39351ac,0.002140458286797644,,,,,,,
19,hotel=9c1bbd8c8fc86cdce1e1254f55014dd62ae338a6,0.0021668498391414865,,,,,,,
18,nombre_cliente=6e69a7d34343161c74ff2a142a6a6a9159f066d7,0.0021791075424866056,,,,,,,
17,nombre_cliente=e5e51d6370fc2346b9f96fa83f91dd3cfde128a4,0.0021873528287163014,,,,,,,
16,nombre_cliente=21a378fb2f37ef009e17cbff20273c1557ca6011,0.002255629384448443,,,,,,,
15,telefono_cliente=27d6d6a4ba891eefd054d273be056e0944759234,0.002283414713838647,,,,,,,
14,nombre_cliente=1b91bde0b161105aa4ddedc14503abd1ab5afcc7,0.0023064012748049566,,,,,,,
13,nombre_cliente=8f5f7650c081062068eb84ade1f1542d2a9871f6,0.002313057957668289,,,,,,,
12,telefono_cliente=1b1e522f1d681172921d10bcc28f27bec8bbcd67,0.0025230540386813882,,,,,,,
11,check-out_day_of_week,0.002572436008998961,1.05938720703125,-8.358820356719922e-05,-8.816082959191262e-05,0.0003460151423227729,0.0005772185271669843,0.0,0.0
10,telefono_cliente=aa0b0c3c980ffd82b0065d75e94ec2c8393ef1d4,0.0025805541105949456,,,,,,,
9,hotel=b18bd8f741f5a6a7befac30d9fdcf44eb264087d,0.002701111358268882,,,,,,,
8,hotel=bd5cf807cc03626e7bf9791380d277e17c707df1,0.002735802753375667,,,,,,,
7,nombre_cliente=cecd0e617022fffd7c2840ee55add1f05c30ad0f,0.0027568949204871377,,,,,,,
6,hotel=d46b813cd813e2318a35509103b1f081db5f77a3,0.0032094231950537174,,,,,,,
5,email_cliente=2800ebfaf82b003aba860bc5df71ee0e8e89948d,0.0034159476875847577,,,,,,,
4,pais_cliente=Reino Unido,0.005387276071963473,,,,,,,
3,roomnigths,0.005992229833237354,1.8163992166519165,-6.30950118667257e-05,0.0021182555464117707,0.0022658901096446753,0.004903209262991969,0.0,0.0
2,email_cliente=a0ce353f75bd324baae267a698304c75df508557,0.0065890971785465685,,,,,,,
1,importe_reserva,0.015545189259640081,0.1819816529750824,-0.031952937936297485,0.024897801852356866,0.03443206804481236,0.027048113883825407,0.025598569388532,0.02144813256183231
0,release,0.023150259393603777,16.764331817626953,-0.06321763303061427,0.06725264487352767,0.06369094554991481,0.06786276816478468,0.04131387576743761,0.040541605795369584
